Branch flows from Saved case: savnw.sav
From Bus,From Bus Ext,To Bus,To Bus Ext,Ckt ID,Non Metered Bus, Branch I,Branch Flow MW,Branch Flow MVAR,Branch MVA,MW Loss,MVAR Loss,Rate,%I,%MVA
    101,NUC-A       21.600,  151,NUCPANT     500.00, 1 ,101,15425,                   588.59,    -7.58,   588.64,    1.00,   45.29,1250.00, 46.17,   47.09
    102,NUC-B       21.600,  151,NUCPANT     500.00, 1 ,102,18343,                   700.00,    -0.66,   700.00,    1.41,   64.05,1250.00, 54.90,   56.00
    151,NUCPANT     500.00,  101,NUC-A       21.600, 1 ,101, 666,                  -587.59,    52.88,   589.97,    1.00,   45.29,1250.00, 46.17,   47.20
    151,NUCPANT     500.00,  102,NUC-B       21.600, 1 ,102, 792,                  -698.59,    64.71,   701.58,    1.41,   64.05,1250.00, 54.90,   56.13
    151,NUCPANT     500.00,  152,MID500      500.00, 1 ,152, 519,                   400.62,  -225.73,   459.83,    4.04,   71.45,1200.00, 37.48,   38.32
    151,NUCPANT     500.00,  152,MID500      500.00, 2 ,152, 519,                   400.62,  -225.73,   459.83,    4.04,   71.45,1200.00, 37.48,   38.32
    151,NUCPANT     500.00,  201,HYDRO       500.00, 1 ,201, 655,                   484.95,  -318.52,   580.20,    2.88,   43.15,1200.00, 47.30,   48.35
    152,MID500      500.00,  151,NUCPANT     500.00, 1 ,152, 445,                  -396.58,   -77.63,   404.10,    4.04,   71.45,1200.00, 32.16,   33.68
    152,MID500      500.00,  151,NUCPANT     500.00, 2 ,152, 445,                  -396.58,   -77.63,   404.10,    4.04,   71.45,1200.00, 32.16,   33.68
    152,MID500      500.00,  153,MID230      230.00, 1 ,153, 756,                   632.92,   264.94,   686.14,    0.00,   21.87,2500.00, 26.21,   27.45
    152,MID500      500.00,  202,EAST500     500.00, 1 ,152,  44,                    31.45,    25.29,    40.36,    0.05,    0.64,1200.00,  3.21,    3.36
    152,MID500      500.00, 3004,WEST        500.00, 1 ,3004, 205,                   128.78,  -134.98,   186.56,    0.45,    4.54,1200.00, 14.85,   15.55
    153,MID230      230.00,  152,MID500      500.00, 1 ,153,1660,                  -632.92,  -243.07,   677.99,    0.00,   21.87,2500.00, 26.45,   27.12
    153,MID230      230.00,  154,DOWNTN      230.00, 1 ,154, 564,                   211.38,    92.26,   230.64,    2.58,   23.20,300.00, 74.99,   76.88
    153,MID230      230.00,  154,DOWNTN      230.00, 2 ,154, 467,                   176.15,    73.38,   190.82,    2.15,   19.34,300.00, 62.05,   63.61
    153,MID230      230.00, 3006,UPTOWN      230.00, 1 ,3006, 184,                    75.09,    -7.75,    75.49,    0.05,    0.65,300.00, 24.55,   25.16
    154,DOWNTN      230.00,  153,MID230      230.00, 1 ,154, 574,                  -208.80,   -79.07,   223.27,    2.58,   23.20,300.00, 76.25,   74.42
    154,DOWNTN      230.00,  153,MID230      230.00, 2 ,154, 481,                  -174.00,   -69.07,   187.21,    2.15,   19.34,300.00, 63.94,   62.40
    154,DOWNTN      230.00,  203,EAST230     230.00, 1 ,203, 302,                  -104.01,   -55.11,   117.71,    0.56,    5.61,200.00, 60.30,   58.85
    154,DOWNTN      230.00,  205,SUB230      230.00, 1 ,205, 837,                  -313.75,   -87.74,   325.78,    0.37,    3.68,600.00, 55.63,   54.30
    154,DOWNTN      230.00, 3008,CATDOG      230.00, 1 ,3008, 273,                   -51.01,   -93.19,   106.23,    0.25,    2.04,400.00, 27.21,   26.56
    201,HYDRO       500.00,  151,NUCPANT     500.00, 1 ,201, 584,                  -482.07,   231.85,   534.93,    2.88,   43.15,1200.00, 42.15,   44.58
    201,HYDRO       500.00,  202,EAST500     500.00, 1 ,202, 519,                   473.37,   -48.25,   475.82,    4.08,   50.98,1200.00, 37.49,   39.65
    201,HYDRO       500.00,  204,SUB500      500.00, 1 ,204, 553,                   507.01,    14.02,   507.20,    7.53,   75.29,1200.00, 39.96,   42.27
    201,HYDRO       500.00,  211,HYDRO_G     20.000, 1 ,211, 568,                  -498.30,   151.53,   520.83,    1.70,   51.53,800.00, 61.55,   65.10
    202,EAST500     500.00,  152,MID500      500.00, 1 ,152, 146,                   -31.40,  -128.08,   131.87,    0.05,    0.64,1200.00, 10.57,   10.99
    202,EAST500     500.00,  201,HYDRO       500.00, 1 ,202, 538,                  -469.29,  -120.70,   484.57,    4.08,   50.98,1200.00, 38.84,   40.38
    202,EAST500     500.00,  203,EAST230     230.00, 1 ,203, 621,                   500.69,   248.78,   559.09,    1.16,   47.00,800.00, 67.23,   69.89
    203,EAST230     230.00,  154,DOWNTN      230.00, 1 ,203, 291,                   104.57,    50.94,   116.32,    0.56,    5.61,200.00, 58.06,   58.16
    203,EAST230     230.00,  202,EAST500     500.00, 1 ,203,1350,                  -499.53,  -201.78,   538.75,    1.16,   47.00,800.00, 67.23,   67.34
    203,EAST230     230.00,  205,SUB230      230.00, 1 ,203, 198,                    69.78,    37.63,    79.28,    0.33,    2.96,200.00, 39.57,   39.64
    203,EAST230     230.00,  205,SUB230      230.00, 2 ,203, 198,                    69.78,    37.63,    79.28,    0.33,    2.96,200.00, 39.57,   39.64
    204,SUB500      500.00,  201,HYDRO       500.00, 1 ,204, 618,                  -499.48,  -205.91,   540.25,    7.53,   75.29,1200.00, 44.61,   45.02
    204,SUB500      500.00,  205,SUB230      230.00, 1 ,205, 618,                   499.48,   205.91,   540.26,    0.86,   42.98,800.00, 66.91,   67.53
    205,SUB230      230.00,  154,DOWNTN      230.00, 1 ,205, 832,                   314.11,    82.82,   324.85,    0.37,    3.68,600.00, 55.25,   54.14
    205,SUB230      230.00,  203,EAST230     230.00, 1 ,203, 208,                   -69.45,   -42.53,    81.43,    0.33,    2.96,200.00, 41.55,   40.72
    205,SUB230      230.00,  203,EAST230     230.00, 2 ,203, 208,                   -69.45,   -42.53,    81.43,    0.33,    2.96,200.00, 41.55,   40.72
    205,SUB230      230.00,  204,SUB500      500.00, 1 ,205,1343,                  -498.62,  -162.93,   524.56,    0.86,   42.98,800.00, 66.91,   65.57
    205,SUB230      230.00,  206,URBGEN      18.000, 1 ,206,1820,                  -698.45,  -131.42,   710.71,    1.37,   70.11,1150.00, 63.06,   61.80
    206,URBGEN      18.000,  205,SUB230      230.00, 1 ,206,23261,                   699.82,   201.53,   728.26,    1.37,   70.11,1150.00, 63.06,   63.33
    211,HYDRO_G     20.000,  201,HYDRO       500.00, 1 ,211,14215,                   500.00,  -100.00,   509.90,    1.70,   51.53,800.00, 61.55,   63.74
   3001,MINE        230.00, 3002,E. MINE     500.00, 1 ,3001,  95,                    36.54,   -14.68,    39.38,    0.00,    0.22,800.00,  4.74,    4.92
   3001,MINE        230.00, 3003,S. MINE     230.00, 1 ,3003, 369,                   150.27,    27.48,   152.76,    0.00,    1.73,250.00, 58.85,   61.11
   3001,MINE        230.00, 3011,MINE_G      13.800, 1 ,3011, 452,                  -186.81,   -12.79,   187.25,    0.07,    3.25,1300.00, 13.87,   14.40
   3002,E. MINE     500.00, 3001,MINE        230.00, 1 ,3001,  43,                   -36.54,    14.90,    39.46,    0.00,    0.22,800.00,  4.74,    4.93
   3002,E. MINE     500.00, 3004,WEST        500.00, 1 ,3004,  43,                    36.54,   -14.90,    39.46,    0.08,    0.72,1200.00,  3.16,    3.29
   3003,S. MINE     230.00, 3001,MINE        230.00, 1 ,3003, 369,                  -150.27,   -25.74,   152.46,    0.00,    1.73,250.00, 58.85,   60.98
   3003,S. MINE     230.00, 3005,WEST        230.00, 1 ,3005, 184,                    75.14,    12.87,    76.23,    0.33,    3.00,300.00, 24.52,   25.41
   3003,S. MINE     230.00, 3005,WEST        230.00, 2 ,3005, 184,                    75.14,    12.87,    76.23,    0.33,    3.00,300.00, 24.52,   25.41
   3004,WEST        500.00,  152,MID500      500.00, 1 ,3004, 205,                  -128.33,  -133.70,   185.32,    0.45,    4.54,1200.00, 14.80,   15.44
   3004,WEST        500.00, 3002,E. MINE     500.00, 1 ,3004,  40,                   -36.46,     5.85,    36.92,    0.08,    0.72,1200.00,  2.95,    3.08
