Bus Data from Saved case: savnw.sav
Bus Number,  Bus Name,      Area,Base Voltage,Bus Voltage(PU),Bus Voltage(kV)
   101,NUC-A       ,                 1,21.60000038,1.02000000,22.03200000
   102,NUC-B       ,                 1,21.60000038,1.02000000,22.03200000
   151,NUCPANT     ,                 1,500.00000000,1.02200000,511.14900000
   152,MID500      ,                 1,500.00000000,1.04700000,523.60400000
   153,MID230      ,                 1,230.00000000,1.02500000,235.78900000
   154,DOWNTN      ,                 1,230.00000000,0.97600000,224.48800000
   201,HYDRO       ,                 2,500.00000000,1.05800000,528.82900000
   202,EAST500     ,                 2,500.00000000,1.04000000,519.79000000
   203,EAST230     ,                 2,230.00000000,1.00200000,230.40300000
   204,SUB500      ,                 2,500.00000000,1.00900000,504.65800000
   205,SUB230      ,                 2,230.00000000,0.98000000,225.40000000
   206,URBGEN      ,                 2,18.00000000,1.00400000,18.07600000
   211,HYDRO_G     ,                 2,20.00000000,1.03500000,20.70900000
  3001,MINE        ,                 5,230.00000000,1.03800000,238.79800000
  3002,E. MINE     ,                 5,500.00000000,1.04000000,520.14100000
  3003,S. MINE     ,                 5,230.00000000,1.03600000,238.32600000
  3004,WEST        ,                 5,500.00000000,1.04400000,521.78200000
  3005,WEST        ,                 5,230.00000000,1.02300000,235.36700000
  3006,UPTOWN      ,                 5,230.00000000,1.02500000,235.79600000
  3007,RURAL       ,                 5,230.00000000,0.99900000,229.76300000
  3008,CATDOG      ,                 5,230.00000000,0.99500000,228.91300000
  3011,MINE_G      ,                 5,13.80000019,1.04000000,14.35200000
  3018,CATDOG_G    ,                 5,13.80000019,1.05700000,14.58900000
